Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,11,CHEMBL3402758_10,0,-12.24,0.3,-10.91,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[n-0X2][c-0X3]1[#1])[#1])[#1]
kcal/mol,12,CHEMBL3402749_500,0,-7.47,0.28,-8.6,[#1][C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([o-0X2]1)[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1]
kcal/mol,13,CHEMBL3402757_6.5,0,-11.8,0.3,-11.17,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[#1])[#1]
kcal/mol,14,CHEMBL3402765_11-charged-pKa-8.1,0,-9.94,0.31,-10.86,[#1][c-0X3]1[c-0X3]([F-0X1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[F-0X1])[#1])[c-0X3]1[n-0X2][n-0X3]([C-0X4]([#1])([#1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[N-0X3]([#1])[C-0X3](=[O-0X1])[O-0X2][C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]2([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]([#1])([#1])[C-0X4]2([#1])[#1])[#1])[c-0X3](=[O-0X1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,15,CHEMBL3402762_1,0,-13.45,0.25,-12.28,[#1][C-0X4]([#1])([#1])[N+X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([C-0X4]([#1])([#1])[C-0X4]1([#1])[#1])[C-0X4]([#1])([#1])[O-0X2][c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X2]#[N-0X1])[#1])[#1]
kcal/mol,16,CHEMBL3402742_23,0,-10.85,0.32,-10.42,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X3](=[O-0X1])[N-0X3]([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[N-0X3]1[N-0X2]=[C-0X3]([C-0X4]([#1])([#1])[S-0X2][C-0X3]1=[O-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1]
kcal/mol,17,CHEMBL3402754_40,0,-9.64,0.25,-10.09,[#1][C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1]
kcal/mol,18,CHEMBL3402748_5300,0,-6.97,0.28,-7.2,[#1][n-0X3]1[c-0X3]([c-0X3]([#1])[n-0X2][c-0X3]1[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,19,CHEMBL3402741_400,0,-10.16,0.36,-8.73,[#1][C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X3](=[O-0X1])[N-0X3]([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[N-0X3]1[N-0X2]=[C-0X3]([C-0X4]([#1])([#1])[S-0X2][C-0X3]1=[O-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][C-0X4]([#1])([#1])[#1])[c-0X3]([c-0X3]1[#1])[O-0X2][C-0X4]([#1])([#1])[#1])[#1])[#1]
kcal/mol,20,CHEMBL3402763_90,0,-10.97,0.31,-9.61,[#1][C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X3](=[O-0X1])[N-0X3]([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[N-0X3]1[N-0X2]=[C-0X3]([C-0X4]([#1])([#1])[S-0X2][C-0X3]1=[O-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([Cl-0X1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[#1]
kcal/mol,21,CHEMBL3402764_90,0,-9.0,0.35,-9.61,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X3](=[O-0X1])[N-0X3]([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[#1]
kcal/mol,22,CHEMBL3402751_2100,0,-6.97,0.28,-7.75,[#1][C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[s-0X2][c-0X3]([n-0X2]1)[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1]
kcal/mol,23,CHEMBL3402756_2.7,0,-11.62,0.3,-11.69,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[F-0X1])[#1]
kcal/mol,24,CHEMBL3402760_1,0,-12.26,0.26,-12.28,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([n-0X2][c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X4]([#1])([#1])[n-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]1=[O-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[C-0X2]#[N-0X1])[#1])[#1]
